Sample	Taxonomy	Count
WW	k:Eukaryota(1.00),p:Amorphea(0.90),c:Obazoa(0.90),o:Opisthokonta(0.90),f:Nucletmycea(0.90),g:Fungi(0.90),s:Dikarya(0.90)	1
WW	k:Eukaryota(1.00),p:SAR(0.99),c:Rhizaria(0.12),o:Cercozoa(0.12),f:Cercomonadidae(0.12),g:Cercomonas(0.12),s:Cercomonas directa(0.11)	1
WW	k:Eukaryota(1.00),p:SAR(1.00),c:Stramenopiles(1.00),o:Ochrophyta(0.99),f:Chrysophyceae(0.98),g:Chromulinales(0.92),s:uncultured(0.78)	1
WW	k:Eukaryota(1.00),p:SAR(1.00),c:Stramenopiles(1.00),o:Ochrophyta(1.00),f:Chrysophyceae(1.00),g:Kephyrion sp. CCMP3057(0.28)	1
WWMagn	k:Eukaryota(1.00),p:Cryptophyceae(1.00),c:Cryptomonadales(1.00),o:Rhodomonas(1.00),f:Rhodomonas sp. CCMP743(1.00)	3600
WWMagn	k:Eukaryota(1.00),p:Archaeplastida(1.00),c:Chloroplastida(1.00),o:Charophyta(1.00),f:Phragmoplastophyta(1.00),g:Streptophyta(1.00),s:Embryophyta(1.00)	267
WWMagn	k:Eukaryota(1.00),p:Discoba(1.00),c:Jakobida(1.00),o:uncultured dinoflagellate(1.00)	188
WWMagn	k:Eukaryota(1.00),p:Amorphea(0.96),c:Obazoa(0.96),o:Opisthokonta(0.96),f:Nucletmycea(0.95),g:Fungi(0.95),s:Dikarya(0.95)	38
WWMagn	k:Eukaryota(1.00),p:Amorphea(0.96),c:Amoebozoa(0.95),o:SAR(0.95),f:Stramenopiles(0.95),g:Labyrinthulomycetes(0.95),s:Sorodiplophrys(0.95)	30
WWMagn	k:Eukaryota(1.00),p:Archaeplastida(0.87),c:Chloroplastida(0.87),o:Charophyta(0.87),f:Phragmoplastophyta(0.87),g:Streptophyta(0.87),s:Embryophyta(0.87)	26
WWMagn	k:Eukaryota(1.00),p:SAR(1.00),c:Alveolata(1.00),o:Ciliophora(1.00),f:Intramacronucleata(1.00),g:Conthreep(1.00),s:Oligohymenophorea(1.00)	13
WWMagn	k:Eukaryota(1.00),p:Cryptophyceae(0.87),c:Cryptomonadales(0.87),o:Rhodomonas(0.87),f:Rhodomonas sp. CCMP743(0.87)	9
WWMagn	k:Eukaryota(1.00),p:Amorphea(1.00),c:Obazoa(1.00),o:Opisthokonta(1.00),f:Holozoa(1.00),g:Choanozoa(1.00),s:Metazoa(1.00)	4
WWMagn	k:Eukaryota(1.00),p:Amorphea(1.00),c:Obazoa(1.00),o:Opisthokonta(1.00),f:Nucletmycea(1.00),g:Fungi(1.00),s:Dikarya(1.00)	4
WWMagn	k:Eukaryota(1.00),p:Cryptophyceae(0.88),c:Cryptomonadales(0.88),o:Rhodomonas(0.85),f:Rhodomonas sp. CCMP743(0.85)	3
WWMagn	k:Eukaryota(1.00),p:SAR(0.99),c:Alveolata(0.99),o:Ciliophora(0.99),f:Intramacronucleata(0.99),g:Spirotrichea(0.10),s:Euplotia(0.10)	3
WWMagn	k:Eukaryota(1.00),p:Amorphea(0.98),c:Obazoa(0.98),o:Opisthokonta(0.98),f:Nucletmycea(0.98),g:Fungi(0.98),s:Dikarya(0.97)	2
WWMagn	k:Eukaryota(1.00),p:Amorphea(0.99),c:Obazoa(0.99),o:Opisthokonta(0.99),f:Nucletmycea(0.99),g:Fungi(0.99),s:Dikarya(0.99)	2
WWMagn	k:Eukaryota(1.00),p:Archaeplastida(0.31),c:Chloroplastida(0.31),o:Charophyta(0.31),f:Phragmoplastophyta(0.31),g:Streptophyta(0.31),s:Embryophyta(0.31)	2
WWMagn	k:Eukaryota(1.00),p:Cryptophyceae(0.98),c:Cryptomonadales(0.96),o:Rhodomonas(0.96),f:Rhodomonas sp. CCMP743(0.96)	2
WWMagn	k:Eukaryota(1.00),p:SAR(0.82),c:Alveolata(0.82),o:Ciliophora(0.82),f:Intramacronucleata(0.82),g:Conthreep(0.82),s:Oligohymenophorea(0.82)	2
WWMagn	k:Eukaryota(1.00),p:Archaeplastida(0.99),c:Chloroplastida(0.99),o:Charophyta(0.99),f:Phragmoplastophyta(0.99),g:Streptophyta(0.98),s:Embryophyta(0.98)	1
WWMagn	k:Eukaryota(1.00),p:Cryptophyceae(0.86),c:Cryptomonadales(0.86),o:Rhodomonas(0.86),f:Rhodomonas sp. CCMP743(0.86)	1
WWMagn	k:Eukaryota(1.00),p:Cryptophyceae(0.96),c:Cryptomonadales(0.96),o:Rhodomonas(0.96),f:Rhodomonas sp. CCMP743(0.96)	1
WWMagn	k:Eukaryota(1.00),p:SAR(0.72),c:Alveolata(0.66),o:Ciliophora(0.65),f:Intramacronucleata(0.65),g:Conthreep(0.65),s:Oligohymenophorea(0.63)	1
WWMagn	k:Eukaryota(1.00),p:SAR(1.00),c:Stramenopiles(1.00),o:Ochrophyta(1.00),f:Chrysophyceae(1.00),g:Chromulinales(1.00),s:uncultured(1.00)	1
WWMock	k:Eukaryota(1.00),p:Cryptophyceae(1.00),c:Cryptomonadales(1.00),o:Rhodomonas(1.00),f:Rhodomonas sp. CCMP743(1.00)	15
WWMock	k:Eukaryota(1.00),p:SAR(1.00),c:Alveolata(1.00),o:Ciliophora(1.00),f:Intramacronucleata(1.00),g:Conthreep(1.00),s:Oligohymenophorea(1.00)	15
WWMock	k:Eukaryota(1.00),p:SAR(1.00),c:Alveolata(1.00),o:Protalveolata(0.96),f:Perkinsidae(0.92),g:A31(0.91),s:Rana sphenocephala pathogen MJY-2007(0.32)	9
WWMock	k:Eukaryota(1.00),p:Amorphea(1.00),c:Amoebozoa(1.00),o:Archamoebae(1.00),f:Incertae Sedis(1.00),g:Rhizomastix(1.00),s:Ripella platypodia(1.00)	3
WWMock	k:Eukaryota(1.00),p:Archaeplastida(1.00),c:Chloroplastida(1.00),o:Charophyta(1.00),f:Phragmoplastophyta(1.00),g:Streptophyta(1.00),s:Embryophyta(1.00)	3
